Korean Word,Emotion,Emotion-Intensity-Score
화난,anger,0.964
야만성,anger,0.959
증오,anger,0.953
혐오스러운,anger,0.94
테러하다,anger,0.939
맹렬히,anger,0.938
화난,anger,0.938
맹렬한,anger,0.929
맹렬히,anger,0.927
성나게 하는,anger,0.927
망할,anger,0.924
살인자,anger,0.922
격노,anger,0.922
실행,anger,0.917
화난,anger,0.916
야만 상태,anger,0.915
도살,anger,0.914
매우 화난,anger,0.913
암살하다,anger,0.912
전멸,anger,0.912
씨발,anger,0.912
격노,anger,0.911
싫다,anger,0.909
씨발,anger,0.906
로드레이지,anger,0.906
저주,anger,0.906
살인적인,anger,0.906
격렬한 감격,anger,0.9
적의,anger,0.898
억누르다,anger,0.898
살인,anger,0.897
성난,anger,0.896
화난,anger,0.894
화나게 하다,anger,0.894
성난,anger,0.894
강간,anger,0.894
사나운,anger,0.894
복수심에 불타는,anger,0.894
말살,anger,0.894
폭발물,anger,0.894
죽이는,anger,0.893
전투적인,anger,0.891
복수,anger,0.886
씨발 너자신,anger,0.886
고통,anger,0.885
격노,anger,0.885
나쁜,anger,0.884
대학살,anger,0.882
험악한,anger,0.882
혐오스러운,anger,0.875
피에 굶주린,anger,0.875
화나게,anger,0.875
화이팅,anger,0.868
공격,anger,0.865
전멸,anger,0.865
가장 화가 난,anger,0.864
유혈,anger,0.864
강타,anger,0.862
말다툼,anger,0.861
악의 있는,anger,0.859
암살,anger,0.859
교살,anger,0.859
적의,anger,0.859
폭행,anger,0.859
터지다,anger,0.859
장황한 연설,anger,0.859
기분 나쁜,anger,0.857
지옥,anger,0.853
살인적인,anger,0.853
공격,anger,0.853
악의,anger,0.852
테러,anger,0.851
고동,anger,0.849
격분,anger,0.848
신성 모독,anger,0.848
짜증나게 군다,anger,0.848
파괴,anger,0.844
학살,anger,0.844
화를 내다,anger,0.844
폭력적인,anger,0.844
찌르다,anger,0.844
질색,anger,0.844
떠들썩한,anger,0.844
화나게,anger,0.844
말살,anger,0.843
교전국,anger,0.841
멍청이,anger,0.841
싫어하다,anger,0.838
반항,anger,0.837
찌르기,anger,0.835
날뛰다,anger,0.833
무서운,anger,0.833
잔학,anger,0.833
고문,anger,0.833
맹렬한,anger,0.833
비열한,anger,0.828
폭군,anger,0.828
악마 같은,anger,0.828
악마 같은,anger,0.828
싫어하다,anger,0.828
분노 모드,anger,0.828
증오,anger,0.828
파멸적인,anger,0.825
비난하다,anger,0.825
폭동,anger,0.824
헐다,anger,0.824
화난,anger,0.824
대량 학살,anger,0.824
딕헤드,anger,0.824
생생한,anger,0.821
광인,anger,0.82
복수심 있는,anger,0.819
테러리스트,anger,0.818
위협하다,anger,0.818
역겨운,anger,0.818
싫어,anger,0.818
사나움,anger,0.818
에피,anger,0.818
혐오하다,anger,0.816
대학살,anger,0.814
야만적인,anger,0.814
포악,anger,0.814
젠장,anger,0.812
남용,anger,0.812
사나운,anger,0.812
파괴자,anger,0.812
화난 트윗,anger,0.812
야만인 같은,anger,0.812
상호 복수,anger,0.812
오줌싸개,anger,0.812
화난,anger,0.812
폭군,anger,0.812
맹렬한,anger,0.812
발연,anger,0.812
화,anger,0.811
젠장,anger,0.81
펀칭,anger,0.803
펀칭,anger,0.803
쾅,anger,0.803
살인,anger,0.803
암캐,anger,0.803
싸움,anger,0.803
무자비한,anger,0.797
악한 같은,anger,0.797
파괴적인,anger,0.797
찰싹,anger,0.791
폭동,anger,0.788
성장 젠장,anger,0.788
처벌,anger,0.788
도살장,anger,0.788
고함,anger,0.788
악마 같은,anger,0.788
파괴됨,anger,0.788
라겟트윗,anger,0.788
보복,anger,0.788
살인,anger,0.783
충돌,anger,0.783
싸움,anger,0.781
피의,anger,0.781
지옥 같은,anger,0.781
불길한,anger,0.781
싫은,anger,0.781
폭발,anger,0.781
고발,anger,0.779
후민,anger,0.779
싫어,anger,0.779
믿을 수 없는,anger,0.779
미친,anger,0.773
무서운,anger,0.773
격변,anger,0.773
보복하다,anger,0.773
경멸,anger,0.769
폭탄,anger,0.766
통탄 할,anger,0.766
황폐,anger,0.765
무정부주의자,anger,0.765
화염 폭풍,anger,0.765
화내다,anger,0.765
경멸하는,anger,0.764
젠장,anger,0.76
호언장담,anger,0.758
잔혹한,anger,0.758
치명적인,anger,0.758
스매시,anger,0.758
화난,anger,0.758
폭발,anger,0.757
혼란,anger,0.754
모독,anger,0.75
역겨운,anger,0.75
악화,anger,0.75
공포,anger,0.75
경멸하다,anger,0.75
공격하다,anger,0.75
stfu,anger,0.75
속악,anger,0.75
미친,anger,0.75
멍청이들,anger,0.75
으르렁,anger,0.75
장난치지 마,anger,0.75
외침,anger,0.742
위협,anger,0.742
폭발하다,anger,0.742
끔찍한,anger,0.742
방해,anger,0.742
엿,anger,0.742
폭행,anger,0.742
개자식들,anger,0.741
복수,anger,0.738
위협적인,anger,0.735
눌러 터뜨리는,anger,0.735
젠장,anger,0.735
대단원,anger,0.735
악마,anger,0.735
다투다,anger,0.734
박해하다,anger,0.734
개탄하다,anger,0.734
팔다,anger,0.734
지겹다,anger,0.734
난폭한,anger,0.734
격렬한,anger,0.734
반란,anger,0.734
전쟁,anger,0.734
뒹굴다,anger,0.734
언쟁,anger,0.729
호전적인,anger,0.728
젠장,anger,0.727
폭동,anger,0.727
거세,anger,0.727
사보타주,anger,0.727
악의 있는,anger,0.721
스트라이크,anger,0.721
재해,anger,0.721
비참한,anger,0.72
사생아,anger,0.719
배반,anger,0.719
똥구멍,anger,0.719
말똥,anger,0.719
몹시 웃기다,anger,0.719
경멸감,anger,0.719
악화,anger,0.719
잔인한,anger,0.719
맹렬한,anger,0.719
악마,anger,0.719
미치게 하다,anger,0.719
짓궂은,anger,0.719
비명,anger,0.719
초크,anger,0.719
해충,anger,0.719
소란,anger,0.719
범인,anger,0.714
압착 롤러,anger,0.714
무정부주의,anger,0.714
절단,anger,0.714
비난,anger,0.713
펀치,anger,0.713
독성,anger,0.712
치명적인,anger,0.712
아프다,anger,0.712
큰 시련,anger,0.712
싫어,anger,0.712
신성모독,anger,0.712
대학살,anger,0.712
멍청이들,anger,0.712
전투,anger,0.712
미친,anger,0.706
짜증,anger,0.706
극악한,anger,0.706
사악한,anger,0.706
악화,anger,0.703
위협,anger,0.703
자지,anger,0.703
암살자,anger,0.703
꾸지람,anger,0.703
박해,anger,0.703
살해자,anger,0.703
채가다,anger,0.703
침략,anger,0.702
무장,anger,0.7
전투,anger,0.697
독,anger,0.697
으르렁,anger,0.697
독액,anger,0.697
불만,anger,0.693
원한,anger,0.691
공격자,anger,0.691
교활한,anger,0.691
경멸하는,anger,0.69
사형,anger,0.69
성질,anger,0.688
끔찍한,anger,0.688
얕보다,anger,0.688
미치광이,anger,0.688
괴롭히는 사람,anger,0.688
미친,anger,0.688
메이즈메드,anger,0.688
영아 살해,anger,0.688
지배,anger,0.688
짜증,anger,0.688
투옥,anger,0.688
저주,anger,0.688
휘발성,anger,0.687
근절,anger,0.685
근절하다,anger,0.682
언짢은 기분,anger,0.682
악당,anger,0.682
황폐화하다,anger,0.682
공격적으로,anger,0.68
동요,anger,0.68
절대권,anger,0.676
짜증,anger,0.676
욕설,anger,0.673
지지,anger,0.672
끔찍한,anger,0.672
발사,anger,0.672
잔인하게,anger,0.672
사격,anger,0.672
비난,anger,0.672
밀어 넣는,anger,0.672
악화,anger,0.672
유해한,anger,0.672
악명 높은,anger,0.672
범죄,anger,0.672
부패,anger,0.672
비겁한,anger,0.672
경멸,anger,0.672
해로운,anger,0.672
조어,anger,0.672
가하다,anger,0.672
미치광이,anger,0.67
치열한,anger,0.667
적,anger,0.667
때리다,anger,0.667
모두 싫어,anger,0.667
분화,anger,0.667
민감한,anger,0.667
추악한,anger,0.667
촬영,anger,0.667
외침,anger,0.667
적극적인,anger,0.667
발 차기,anger,0.667
전투,anger,0.667
싸움,anger,0.667
처벌,anger,0.662
소리치다,anger,0.661
매복,anger,0.661
괴롭히다,anger,0.659
악의 있는,anger,0.656
침략자,anger,0.656
핏덩어리,anger,0.656
파괴,anger,0.656
악의,anger,0.656
적그리스도,anger,0.656
향,anger,0.656
내쫓다,anger,0.656
까다로운,anger,0.653
노예,anger,0.652
보복,anger,0.652
으르렁,anger,0.652
악의,anger,0.652
반란,anger,0.652
충돌,anger,0.652
고발하다,anger,0.652
기분을 상하게,anger,0.652
찰싹 때리기,anger,0.652
모욕,anger,0.652
으르렁,anger,0.649
실행자,anger,0.644
엉덩이에,anger,0.644
최후의 날,anger,0.643
외설,anger,0.641
고발 당한,anger,0.641
불화,anger,0.641
악마,anger,0.641
큰 파란,anger,0.641
걸쇠,anger,0.641
변명의 여지가 없는,anger,0.641
분개,anger,0.641
그르르,anger,0.641
제명,anger,0.641
포,anger,0.641
말다툼,anger,0.641
방화,anger,0.641
견책,anger,0.641
소마드,anger,0.637
좌절스러운,anger,0.636
반죽,anger,0.636
발로 차다,anger,0.636
무정부 상태,anger,0.636
매우,anger,0.636
현란한,anger,0.636
자살 충동,anger,0.636
역겨운,anger,0.636
상처,anger,0.636
교수형,anger,0.636
중독된,anger,0.636
전투원,anger,0.636
난파,anger,0.633
가하다,anger,0.633
괴롭게 하는,anger,0.632
기소하다,anger,0.63
흥분한,anger,0.63
속이다,anger,0.63
만자,anger,0.627
해치다,anger,0.625
기소하다,anger,0.625
채찍,anger,0.625
성나게 하기,anger,0.625
질식,anger,0.625
싸움,anger,0.625
습격,anger,0.625
노예,anger,0.625
저주,anger,0.625
명예 훼손,anger,0.625
괴롭히는,anger,0.625
우뢰 같은,anger,0.625
팔다,anger,0.625
똥구멍,anger,0.624
훔침,anger,0.621
정신 이상의,anger,0.621
앙갚음,anger,0.621
짜증나게 하다,anger,0.621
박탈,anger,0.621
악마,anger,0.621
바보,anger,0.621
죄수,anger,0.621
저주 받은,anger,0.619
소란,anger,0.618
헤로인,anger,0.615
보복,anger,0.614
반항,anger,0.609
압제자,anger,0.609
한 떼,anger,0.609
노예 제도,anger,0.609
참을 수 없는,anger,0.609
불리한,anger,0.609
유해한,anger,0.609
쯧쯧,anger,0.609
충돌,anger,0.609
배터리,anger,0.609
몹시,anger,0.609
반대,anger,0.609
짜증,anger,0.609
불명예스러운,anger,0.608
불평,anger,0.606
항문,anger,0.606
폭발,anger,0.606
충격,anger,0.606
짜증,anger,0.606
소리치다,anger,0.606
혁명,anger,0.606
자객,anger,0.606
적대적인,anger,0.606
화나게 하는,anger,0.606
역겹다,anger,0.606
차별,anger,0.606
좌절,anger,0.604
모욕,anger,0.603
해로운,anger,0.603
압박,anger,0.603
시장 조작,anger,0.603
피곤하다,anger,0.603
편협한,anger,0.603
긴장,anger,0.603
싫음,anger,0.602
악의,anger,0.6
방해하는,anger,0.598
거친 것,anger,0.597
중상,anger,0.596
대소동,anger,0.594
공격하다,anger,0.594
신랄,anger,0.594
병적 상태,anger,0.594
사상자 수,anger,0.594
찌름,anger,0.594
비참한,anger,0.594
지옥,anger,0.594
침입,anger,0.594
폭풍우 치는,anger,0.594
놈,anger,0.594
깜짝 놀람,anger,0.592
미쳐 날뛰는,anger,0.591
억지로,anger,0.591
기요틴,anger,0.591
죄책감이 드는,anger,0.591
타락한,anger,0.591
부도덕한,anger,0.591
압도적,anger,0.591
공황,anger,0.588
고집 불통,anger,0.588
나사로 죈,anger,0.588
저주 받은,anger,0.588
짜증,anger,0.588
침략자,anger,0.588
질투,anger,0.587
분개,anger,0.587
안절부절 못하는,anger,0.586
대면하다,anger,0.582
짐승,anger,0.581
조절판,anger,0.579
암캐,anger,0.578
일격,anger,0.578
불꽃,anger,0.578
